id,title,director,actors,genre,description,year
29,M - Eine Stadt sucht einen Mörder,Fritz Lang,"Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke, Theodor Loos, Gustaf Gründgens, Friedrich Gnaß, Fritz Odemar, Paul Kemp, Theo Lingen, Rudolf Blümner, Georg John, Franz Stein, Ernst Stahl-Nachbaur, Gerhard Bienert","Crime, Mystery, Thriller","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",1931
30,Monkey Business,Norman Z. McLeod,"The Marx Brothers, Groucho Marx, Harpo Marx, Chico Marx, Zeppo Marx, Rockliffe Fellowes, Harry Woods, Thelma Todd, Ruth Hall, Tom Kennedy","Comedy, Musical","On a transatlantic crossing,",1931
31,The Public Enemy,William A. Wellman,"James Cagney, Jean Harlow, Edward Woods, Joan Blondell, Donald Cook, Leslie Fenton, Beryl Mercer, Robert Emmett O'Connor, Murray Kinnell","Crime, Drama","A young hoodlum rises up through the ranks of the Chicago underworld, even as a gangster's accidental death threatens to spark a bloody mob war.",1931
32,Dr. Jekyll and Mr. Hyde,Rouben Mamoulian,"Fredric March, Miriam Hopkins, Rose Hobart, Holmes Herbert, Halliwell Hobbes, Edgar Norton, Tempe Pigott","Horror, Sci-Fi",Dr. Jekyll faces horrible consequences when he lets his dark side run wild with a potion that transforms him into the animalistic Mr. Hyde.,1931
33,Freaks,Tod Browning,"Wallace Ford, Leila Hyams, Olga Baclanova, Roscoe Ates, Henry Victor, Harry Earles, Daisy Earles, Rose Dione, Daisy Hilton, Violet Hilton, Schlitze, Josephine Joseph, Johnny Eck, Frances O'Connor, Peter Robinson","Drama, Horror","A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",1932
34,Grand Hotel,Edmund Goulding,"Greta Garbo, John Barrymore, Joan Crawford, Wallace Beery, Lionel Barrymore, Lewis Stone, Jean Hersholt, Robert McWade, Purnell Pratt, Ferdinand Gottschalk, Rafaela Ottiano, Morgan Wallace, Tully Marshall, Frank Conroy, Murray Kinnell","Drama, Romance",A group of very different individuals staying at a luxurious hotel in Berlin deal with each of their respective dramas.,1932
35,Horse Feathers,Norman Z. McLeod,"The Marx Brothers, Groucho Marx, Harpo Marx, Chico Marx, Zeppo Marx, Thelma Todd, David Landau","Comedy, Musical, Romance","Quincy Adams Wagstaff, the new president of Huxley University, accidentally hires bumblers Baravelli and Pinky to help his school win the big football game against the rival Darwin University.",1932
36,I Am a Fugitive from a Chain Gang,Mervyn LeRoy,"Paul Muni, Glenda Farrell, Helen Vinson, Noel Francis, Preston Foster, Allen Jenkins, Berton Churchill, Edward Ellis, David Landau, Hale Hamilton, Sally Blane, Louise Carter, Willard Robertson, Robert McWade, Robert Warwick","Crime, Drama, Film-Noir","Wrongly convicted James Allen serves in the intolerable conditions of a southern chain gang, which later comes back to haunt him.",1932
37,The Mummy,Karl Freund,"Boris Karloff, Zita Johann, David Manners, Arthur Byron, Edward Van Sloan, Bramwell Fletcher, Noble Johnson, Kathryn Byron, Leonard Mudie, James Crane, Henry Victor, Arnold Gray","Fantasy, Horror",A resurrected Egyptian mummy stalks a beautiful woman he believes to be the reincarnation of his lover and bride.,1932
38,Scarface,"Howard Hawks, Richard Rosson","Paul Muni, Ann Dvorak, Karen Morley, Osgood Perkins, C. Henry Gordon, George Raft, Vince Barnett, Boris Karloff, Purnell Pratt, Tully Marshall, Inez Palange, Edwin Maxwell","Action, Crime, Drama","An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall.",1932
39,Das Testament des Dr. Mabuse,Fritz Lang,"Rudolf Klein-Rogge, Gustav Diessl, Rudolf Schündler, Oskar Höcker, Theo Lingen, Camilla Spira, Paul Henckels, Otto Wernicke, Theodor Loos, Hadrian Maria Netto, Paul Bernd, Henry Pleß, Adolf E. Licho, Oscar Beregi Sr., Wera Liessem",Crime,"A new crime wave grips the city and all clues seem to lead to the nefarious Dr. Mabuse, even though he has been imprisoned in a mental asylum for nearly a decade.",1933
40,Trouble in Paradise,Ernst Lubitsch,"Miriam Hopkins, Kay Francis, Herbert Marshall, Charles Ruggles, Edward Everett Horton, C. Aubrey Smith, Robert Greig","Comedy, Crime, Romance",A gentleman thief and a lady pickpocket join forces to con a beautiful perfume company owner. Romantic entanglements and jealousies confuse the scheme.,1932
41,Otona no miru ehon - Umarete wa mita keredo,Yasujirô Ozu,"Tatsuo Saitô, Tomio Aoki, Mitsuko Yoshikawa, Hideo Sugawara, Takeshi Sakamoto, Teruyo Hayami, Seiichi Katô, Shôichi Kofujita, Seiji Nishimura, Zentaro Iijima, Shôtarô Fujimatsu, Masao Hayama, Michio Sato, Kuniyasu Hayashi, Akio Nomura","Comedy, Drama",Two young brothers throw a tantrum when they discover that their father isn't the most important man in his workplace.,1932
42,Vampyr,Carl Theodor Dreyer,"Julian West, Maurice Schutz, Rena Mandel, Sybille Schmitz, Jan Hieronimko, Henriette Gérard, Albert Bras, N. Babanini, Jane Mora, Georges Boidin","Fantasy, Horror",A drifter obsessed with the supernatural stumbles upon an inn where a severely ill adolescent girl is slowly becoming a vampire.,1932
43,Duck Soup,Leo McCarey,"The Marx Brothers, Groucho Marx, Harpo Marx, Chico Marx, Zeppo Marx, Margaret Dumont, Raquel Torres, Louis Calhern, Edmund Breese, Leonid Kinskey, Charles Middleton, Edgar Kennedy","Comedy, Musical, War",Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.,1933
44,The Invisible Man,James Whale,"Claude Rains, Gloria Stuart, William Harrigan, Henry Travers, Una O'Connor, Forrester Harvey, Holmes Herbert, E.E. Clive, Dudley Digges, Harry Stubbs, Donald Stuart, Merle Tottenham","Horror, Sci-Fi","A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane.",1933
45,King Kong,"Merian C. Cooper, Ernest B. Schoedsack","Fay Wray, Robert Armstrong, Bruce Cabot, Frank Reicher, Sam Hardy, Noble Johnson, Steve Clemente, James Flavin, King Kong","Adventure, Horror, Sci-Fi",A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,1933
46,L'Atalante,Jean Vigo,"Dita Parlo, Jean Dasté, Gilles Margaritis, Louis Lefebvre, Maurice Gilles, Raphaël Diligent, Michel Simon","Comedy, Drama, Romance",Newly married couple Juliette and a ship captain Jean struggle through marriage as they travel on the L'atalante along with the captain's first mate Le père Jules and a cabin boy.,1934
47,It Happened One Night,Frank Capra,"Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns, Jameson Thomas, Alan Hale, Arthur Hoyt, Blanche Friderici, Charles C. Wilson","Comedy, Romance",A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.,1934
48,The Man Who Knew Too Much,Alfred Hitchcock,"Leslie Banks, Edna Best, Peter Lorre, Frank Vosper, Hugh Wakefield, Nova Pilbeam, Pierre Fresnay, Cicely Oates, D.A. Clarke-Smith, George Curzon","Crime, Mystery, Thriller","A man and his wife receive a clue to an imminent assassination attempt, only to learn that their daughter has been kidnapped to keep them quiet.",1934
49,The Thin Man,W.S. Van Dyke,"William Powell, Myrna Loy, Maureen O'Sullivan, Nat Pendleton, Minna Gombell, Porter Hall, Henry Wadsworth, William Henry, Harold Huber, Cesar Romero, Natalie Moorhead, Edward Brophy, Edward Ellis, Cyril Thornton","Comedy, Crime, Mystery","Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",1934
50,The 39 Steps,Alfred Hitchcock,"Robert Donat, Madeleine Carroll, Lucie Mannheim, Godfrey Tearle, Peggy Ashcroft, John Laurie, Helen Haye, Frank Cellier, Wylie Watson, Gus McNaughton, Jerry Verno, Peggy Simpson","Film-Noir, Mystery, Thriller","A man in London tries to help a counter-espionage Agent. But when the Agent is killed, and the man stands accused, he must go on the run to save himself and stop a spy ring which is trying to steal top secret information.",1935
51,Bride of Frankenstein,James Whale,"Boris Karloff, Colin Clive, Valerie Hobson, Ernest Thesiger, Elsa Lanchester, Gavin Gordon, Douglas Walton, Una O'Connor, E.E. Clive, Lucien Prival, O.P. Heggie, Dwight Frye, Reginald Barlow, Mary Gordon, Anne Darling","Drama, Horror, Sci-Fi","Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate.",1935
52,Captain Blood,Michael Curtiz,"Errol Flynn, Olivia de Havilland, Lionel Atwill, Basil Rathbone, Ross Alexander, Guy Kibbee, Henry Stephenson, Robert Barrat, Hobart Cavanaugh, Donald Meek, Jessie Ralph, Forrester Harvey, Frank McGlynn Sr., Holmes Herbert, David Torrence","Action, Adventure","After being wrongly convicted as a traitor, Peter Blood, an English physician, is sent to exile in the British colonies of the Caribbean, where he becomes a pirate.",1935
53,Mutiny on the Bounty,Frank Lloyd,"Charles Laughton, Clark Gable, Franchot Tone, Herbert Mundin, Eddie Quillan, Dudley Digges, Donald Crisp, Henry Stephenson, Francis Lister, Spring Byington, Movita, Mamo Clark, Byron Russell, Percy Waram, David Torrence","Adventure, Biography, Drama","A tyrannical ship captain decides to exact revenge on his abused crew after they form a mutiny against him, but the sailor he targets had no hand in it.",1935
54,A Night at the Opera,"Sam Wood, Edmund Goulding","Groucho Marx, Chico Marx, Harpo Marx, Kitty Carlisle, Allan Jones, Walter Woolf King, Sig Ruman, Margaret Dumont, Edward Keane, Robert Emmett O'Connor","Comedy, Music, Musical",A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.,1935
55,Top Hat,Mark Sandrich,"Fred Astaire, Ginger Rogers, Edward Everett Horton, Erik Rhodes, Eric Blore, Helen Broderick","Comedy, Musical, Romance","An American dancer comes to Britain and falls for a model whom he initially annoyed, but she mistakes him for his goofy producer.",1935
56,Fury,Fritz Lang,"Sylvia Sidney, Spencer Tracy, Walter Abel, Bruce Cabot, Edward Ellis, Walter Brennan, Frank Albertson, George Walcott, Arthur Stone, Morgan Wallace, George Chandler, Roger Gray, Edwin Maxwell, Howard Hickman, Jonathan Hale","Crime, Drama, Film-Noir","When a wrongly accused prisoner barely survives a lynch mob attack and is presumed dead, he vindictively decides to fake his death and frame the mob for his supposed murder.",1936
57,Modern Times,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford, Chester Conklin, Hank Mann, Stanley Blystone, Al Ernest Garcia, Richard Alexander, Cecil Reynolds, Mira McKinney, Murdock MacQuarrie, Wilfred Lucas, Edward LeSaint, Fred Malatesta","Comedy, Drama, Family",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,1936
58,Mr. Deeds Goes to Town,Frank Capra,"Gary Cooper, Jean Arthur, George Bancroft, Lionel Stander, Douglass Dumbrille, Raymond Walburn, H.B. Warner, Ruth Donnelly, Walter Catlett, John Wray","Comedy, Drama, Romance","A simple, small town man inherits a massive fortune, making him the target for scammers and publicity-seekers. Overwhelmed by the turn his life has taken, and awoken to another use for his new-found fortune, he makes a momentous decision.",1936
59,My Man Godfrey,Gregory La Cava,"William Powell, Carole Lombard, Alice Brady, Gail Patrick, Eugene Pallette, Jean Dixon, Alan Mowbray, Mischa Auer, Pat Flaherty, Robert Light","Comedy, Drama, Romance",A scatterbrained socialite hires a vagrant as a family butler - but there's more to Godfrey than meets the eye.,1936
60,The Petrified Forest,Archie Mayo,"Leslie Howard, Bette Davis, Genevieve Tobin, Dick Foran, Humphrey Bogart, Joe Sawyer, Porter Hall, Charley Grapewin, Paul Harvey, Eddie Acuff, Adrian Morris, Nina Campana, Slim Thompson, John Alexander","Drama, Film-Noir, Romance","A waitress, a hobo and a bank robber get mixed up at a lonely diner in the desert.",1936
61,Sabotage,Alfred Hitchcock,"Sylvia Sidney, Oskar Homolka, Desmond Tester, John Loder, Joyce Barbour, Matthew Boulton, S.J. Warmington, William Dewhurst","Crime, Thriller","A Scotland Yard undercover detective is on the trail of a saboteur who is part of a plot to set off a bomb in London. But when the detective's cover is blown, the plot begins to unravel.",1936
62,Swing Time,George Stevens,"Fred Astaire, Ginger Rogers, Victor Moore, Helen Broderick, Eric Blore, Betty Furness, Georges Metaxa","Comedy, Musical, Romance","A performer and gambler travels to New York City to raise the $25,000 he needs to marry his fiancée, only to become entangled with a beautiful aspiring dancer.",1936
63,Tell Your Children,Louis J. Gasnier,"Dorothy Short, Kenneth Craig, Lillian Miles, Dave O'Brien, Thelma White, Carleton Young, Warren McCollum, Patricia Royale, Joseph Forte, Harry Harvey Jr.","Crime, Drama","Cautionary tale features a fictionalized take on the use of marijuana. A trio of drug dealers lead innocent teenagers to become addicted to ""reefer"" cigarettes by holding wild parties with jazz music.",1936
64,The Awful Truth,Leo McCarey,"Irene Dunne, Cary Grant, Ralph Bellamy, Alexander D'Arcy, Cecil Cunningham, Molly Lamont, Esther Dale, Joyce Compton, Robert Allen, Robert Warwick, Mary Forbes","Comedy, Romance","Unfounded suspicions lead a married couple to begin divorce proceedings, whereupon they start undermining each other's attempts to find new romance.",1937
65,A Day at the Races,Sam Wood,"Groucho Marx, Chico Marx, Harpo Marx, Allan Jones, Maureen O'Sullivan, Margaret Dumont, Leonard Ceeley, Douglass Dumbrille, Esther Muir, Sig Ruman, Robert Middlemass, Vivien Fay, Ivie Anderson, The Crinoline Choir","Comedy, Musical, Sport",A veterinarian posing as a doctor and a race-horse owner and his friends struggle to help keep a sanitarium open with the help of a misfit race-horse.,1937
66,The Grand Illusion,Jean Renoir,"Jean Gabin, Dita Parlo, Pierre Fresnay, Erich von Stroheim, Julien Carette, Georges Péclet, Werner Florian, Jean Dasté, Sylvain Itkine, Gaston Modot, Marcel Dalio","Drama, War","During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",1937
67,Lost Horizon,Frank Capra,"Ronald Colman, Jane Wyatt, Edward Everett Horton, John Howard, Thomas Mitchell, Margo, Isabel Jewell, H.B. Warner, Sam Jaffe","Adventure, Drama, Fantasy",A plane crash delivers a group of people to the secluded land of Shangri-La - but is it the miraculous utopia it appears to be?,1937
68,Pépé le Moko,Julien Duvivier,"Jean Gabin, Gabriel Gabrio, Saturnin Fabre, Fernand Charpin, Lucas Gridoux, Gilbert Gil, Marcel Dalio, Charles Granval, Gaston Modot, René Bergeron, Paul Escoffier, Roger Legris, Jean Témerson, Robert Ozanne, Philippe Richard","Crime, Drama, Romance","A wanted gangster is both king and prisoner of the Casbah. He is protected from arrest by his friends, but is torn by his desire for freedom outside. A visiting Parisian beauty may just tempt his fate.",1937
69,Snow White and the Seven Dwarfs,"William Cottrell, David Hand","Roy Atwell, Stuart Buchanan, Adriana Caselotti, Eddie Collins, Pinto Colvig, Marion Darlington, Billy Gilbert, Otis Harlan, Lucille La Verne, James MacDonald, Scotty Mattraw, Moroni Olsen, Purv Pullen, Harry Stockwell","Animation, Family, Fantasy","Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",1937
70,A Star Is Born,"William A. Wellman, Jack Conway","Janet Gaynor, Fredric March, Adolphe Menjou, May Robson, Andy Devine, Lionel Stander, Owen Moore, Peggy Wood, Elizabeth Jenns, Edgar Kennedy, J.C. Nugent, Guinn 'Big Boy' Williams","Drama, Romance","A young woman comes to Hollywood with dreams of stardom, but achieves them only with the help of an alcoholic leading man whose best days are behind him.",1937
71,The Adventures of Robin Hood,"Michael Curtiz, William Keighley","Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains, Patric Knowles, Eugene Pallette, Alan Hale, Melville Cooper, Ian Hunter, Una O'Connor, Herbert Mundin, Montagu Love, Leonard Willey, Robert Noble, Kenneth Hunter","Action, Adventure, Romance","When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.",1938
72,Angels with Dirty Faces,Michael Curtiz,"James Cagney, Pat O'Brien, Humphrey Bogart, Ann Sheridan, George Bancroft, The Dead End Kids, Billy Halop, Bobby Jordan, Leo Gorcey, Gabriel Dell, Huntz Hall, Bernard Punsly, Joe Downing, Edward Pawley, Adrian Morris","Crime, Drama, Film-Noir",A priest tries to stop a gangster from corrupting a group of street kids.,1938
73,Bringing Up Baby,Howard Hawks,"Katharine Hepburn, Cary Grant, Charles Ruggles, Walter Catlett, Barry Fitzgerald, May Robson, Fritz Feld, Leona Roberts, George Irving, Tala Birell, Virginia Walker, John Kelly","Comedy, Family, Romance","While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",1938
74,Holiday,George Cukor,"Katharine Hepburn, Cary Grant, Doris Nolan, Lew Ayres, Edward Everett Horton, Henry Kolker, Binnie Barnes, Jean Dixon, Henry Daniell, Harry Allen, Frank Benson, Aileen Carlyle, Edward Cooper, Margaret McWade, Frank Shannon","Comedy, Romance",A young man in love with a girl from a rich family finds his unorthodox plan to go on holiday for the early years of his life met with skepticism by everyone except for his fiancée's eccentric sister and long-suffering brother.,1938
75,Jezebel,William Wyler,"Bette Davis, Henry Fonda, George Brent, Margaret Lindsay, Donald Crisp, Fay Bainter, Richard Cromwell, Henry O'Neill, Spring Byington, John Litel, Gordon Oliver, Janet Shaw, Theresa Harris, Margaret Early, Irving Pichel","Drama, Romance","In 1850s Louisiana, a free-spirited Southern belle loses her fiancé due to her stubborn vanity and pride, and vows to win him back.",1938
76,The Lady Vanishes,Alfred Hitchcock,"Margaret Lockwood, Michael Redgrave, Paul Lukas, May Whitty, Cecil Parker, Linden Travers, Naunton Wayne, Basil Radford, Mary Clare, Emile Boreo, Googie Withers, Sally Stewart, Philip Leaver, Selma Vaz Dias, Catherine Lacey","Film-Noir, Mystery, Thriller","While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.",1938
77,You Can't Take It with You,Frank Capra,"Jean Arthur, Lionel Barrymore, James Stewart, Edward Arnold, Mischa Auer, Ann Miller, Spring Byington, Samuel S. Hinds, Donald Meek, H.B. Warner, Halliwell Hobbes, Dub Taylor, Mary Forbes, Lillian Yarbo, Eddie 'Rochester' Anderson","Comedy, Drama, Romance",A man from a family of rich snobs becomes engaged to a woman from a good-natured but decidedly eccentric family.,1938
